NO,éîàÁì™êî,ã[éóåàíË,éEèàï™äJén,éEèàï™èIóπ,,,
64,50,20 ,27 ,27 ,7,7,C
65,645,20 ,23 ,25 ,3,5,C
66,3064,20 ,28 ,30 ,8,10,S
67,29,21 ,21 ,21 ,0,0,C
68,20,21 ,24 ,24 ,3,3,C
69,153,21 ,31 ,31 ,10,10,S
70,114,21 ,28 ,28 ,7,7,C
71,40,22 ,24 ,24 ,2,2,C
72,288,22 ,25 ,25 ,3,3,C
73,1127,22 ,30 ,30 ,8,8,S
74,163,22 ,31 ,31 ,9,9,S
75,52,22 ,46 ,46 ,24,24,C
76,50,23 ,28 ,28 ,5,5,C
77,108,23 ,31 ,31 ,8,8,C
78,9,23 ,40 ,40 ,17,17,C
79,177,23 ,29 ,29 ,6,6,S
80,211,23 ,34 ,34 ,11,11,S
81,884,23 ,49 ,49 ,26,26,S
82,46,23 ,23 ,23 ,0,0,C
83,37,23 ,47 ,47 ,24,24,C
84,76,23 ,41 ,41 ,18,18,C
85,9,23 ,35 ,35 ,12,12,C
86,26,24 ,36 ,36 ,12,12,C
87,35,24 ,36 ,36 ,12,12,C
88,30,24 ,33 ,33 ,9,9,C
89,13,24 ,33 ,33 ,9,9,C
90,5,24 ,35 ,35 ,11,11,C
91,30,25 ,36 ,36 ,11,11,C
92,32,25 ,34 ,34 ,9,9,C
93,1115,25 ,39 ,39 ,14,14,S
94,147,25 ,32 ,32 ,7,7,C
95,16,25 ,36 ,36 ,11,11,C
96,37,25 ,32 ,32 ,7,7,C
97,8,25 ,37 ,37 ,12,12,C
98,28,25 ,47 ,47 ,22,22,C
99,508,25 ,33 ,33 ,21,22,C
100,308,26 ,25 ,26 ,15,15,C
101,52,26 ,40 ,40 ,14,14,C
102,1411,26 ,40 ,40 ,14,14,S
103,14,26 ,37 ,37 ,11,11,C
104,15,26 ,41 ,41 ,15,15,C
105,669,26 ,36 ,36 ,10,10,S
106,54,26 ,37 ,37 ,11,11,C
107,9,26 ,27 ,27 ,1,1,C
108,1369,26 ,38 ,38 ,12,12,S
109,32,26 ,38 ,38 ,12,12,C
110,220,26 ,27 ,28 ,1,2,C
111,64,27 ,38 ,38 ,11,11,C
112,15,27 ,41 ,41 ,14,14,C
113,39,27 ,39 ,39 ,12,12,C
114,112,27 ,46 ,46 ,19,19,C
115,1372,27 ,41 ,41 ,14,14,S
116,42,27 ,40 ,40 ,13,13,C
117,5699,27 ,35 ,37 ,8,10,S
118,22,26 ,27 ,27 ,1,1,C
119,809,27 ,56 ,56 ,30,30,S
120,36,27 ,47 ,47 ,20,20,C
121,8235,27 ,41 ,44 ,14,17,S
122,124,27 ,42 ,42 ,15,15,C
123,3260,27 ,29 ,31 ,2,4,S
124,9130,27 ,42 ,45 ,15,18,S
125,825,27 ,41 ,43 ,14,16,S
126,41,28 ,43 ,43 ,15,15,C
127,1714,28 ,40 ,40 ,12,12,S
128,2160,28 ,37 ,39 ,9,11,S
129,248,28 ,48 ,48 ,20,20,C
130,187,28 ,31 ,31 ,3,3,C
131,78,29 ,44 ,44 ,15,15,C
132,53,29 ,57 ,57 ,28,28,C
133,17,29 ,39 ,39 ,10,10,C
134,93,29 ,45 ,45 ,16,16,C
135,39,29 ,31 ,31 ,2,2,C
136,10,29 ,43 ,43 ,14,14,C
137,132,29 ,31 ,31 ,2,2,C
