NO,飼育頭数,疑似決定,殺処分開始,殺処分終了,殺処分開始までの日数,殺処分完了までの日数,type_of_farm
271,43,06月04日,06月08日,06月08日,,,C
272,67,06月05日,06月18日,06月18日,,,C
273,372,06月05日,06月10日,06月11日,,,C
274,915,06月05日,06月08日,06月08日,,,S
275,25,06月06日,06月09日,06月09日,,,C
276,51,06月07日,06月12日,06月12日,,,C
277,2585,06月08日,06月18日,06月19日,,,S
278,1332,06月08日,06月20日,06月20日,,,S
279,332,06月08日,06月21日,06月21日,,,C
280,238,06月09日,06月10日,06月10日,,,C
281,1807,06月10日,06月14日,06月14日,,,S
282,622,06月10日,06月16日,06月16日,,,S
283,542,06月10日,06月10日,06月11日,,,C
284,364,06月10日,06月10日,06月11日,,,C
285,1339,06月11日,06月10日,06月11日,,,S
286,73,06月11日,06月14日,06月14日,,,C
287,2426,06月11日,06月15日,06月20日,,,C
288,6172,06月12日,06月16日,06月17日,,,S
289,33,06月13日,06月13日,06月14日,,,C
290,243,06月16日,06月16日,06月16日,,,C
291,38,06月18日,06月18日,06月19日,,,C
292,16,07月04日,07月04日,07月05日,,,C
293,,,,,,,
294,,,,,,,
295,,,,,,,
296,,,,,,,
297,,,,,,,
298,,,,,,,
299,,,,,,,
300,,,,,,,
301,,,,,,,
302,,,,,,,
303,,,,,,,
304,,,,,,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,,,,,,,
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,,,,,,,
313,,,,,,,
314,,,,,,,
315,,,,,,,
316,,,,,,,
317,,,,,,,
